"freq_intervalos_mt_n15";"Freq"
"(140,160]";0
"(160,180]";1
"(180,200]";1
"(200,220]";3
"(220,240]";1
"(240,260]";4
"(260,280]";1
"(280,300]";1
"(300,320]";1
"(320,340]";1
"(340,360]";0
"(360,380]";0
