ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,CE,2302404,Interior,Municipal,Urbana,256.648808,223.76625,Masculino,Parda,Novembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3129004,Interior,Estadual,Urbana,369.614993,374.254666,Feminino,Branca,Julho,2002,"Sim, dois",Completou a Faculdade,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sul,RS,4318002,Interior,Estadual,Urbana,312.413759,301.641757,Masculino,Branca,Maio,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Norte,PA,1505106,Interior,Municipal,Urbana,243.680767,240.806703,Feminino,Parda,Novembro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Não faço trabalhos domésticos, ,Continuar estudando e trabalhar
2017,Norte,AC,1200351,Interior,Municipal,Urbana,223.095077,241.409445,Feminino,Parda,Julho,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Centro-Oeste,GO,5201702,Interior,Estadual,Urbana,242.971274,244.292204,Feminino,Parda,Dezembro,2003,Não tem,Completou a Faculdade,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3169307,Interior,Municipal,Urbana,255.005758,204.037487,Masculino,Branca,Novembro,2001,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3538709,Interior,Estadual,Urbana,315.021438,262.345091,Masculino,Parda,Outubro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MT,5108402,Interior,Estadual,Urbana,239.404861,167.903489,Feminino,Amarela,Maio,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sul,PR,4119905,Interior,Estadual,Urbana,279.664776,320.319128,Masculino,Branca,Agosto,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sul,SC,4209102,Interior,Estadual,Urbana,293.364677,240.993551,Feminino,Branca,Maio,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,214.600396,153.482597,Feminino,Parda,Março,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,AC,1200401,Capital,Estadual,Rural,271.281274,276.418443,Masculino,Amarela,Novembro,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,MG,3154606,Interior,Estadual,Urbana,292.746805,267.549561,Feminino,Branca,Setembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sul,SC,4210704,Interior,Estadual,Urbana,242.017884,201.326933,Feminino,Parda,Fevereiro,2001,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sul,SC,4215000,Interior,Municipal,Urbana,269.534098,345.91597,Masculino,Branca,Agosto,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Norte,PA,1507607,Interior,Municipal,Rural,198.663374,269.350355,Masculino,Parda,Outubro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,RO,1101609,Interior,Estadual,Urbana,232.979597,287.487025,Feminino,Amarela,Maio,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3136207,Interior,Estadual,Urbana,165.217681,211.166777,Feminino,Não quero declarar,Julho,2001,"Sim, um",Nunca estudou,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,MA,2104099,Interior,Municipal,Rural,276.631666,275.855831,Masculino,Parda,Outubro,2000,Não tem,Não sei,Nunca estudou,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,RS,4314902,Capital,Estadual,Urbana,273.201443,358.565466,Masculino,Parda,Dezembro,2001,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não, 
2017,Sudeste,SP,3522406,Interior,Municipal,Urbana,295.234105,343.922235,Masculino,Branca, ,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,ES,3205200,Interior,Municipal,Urbana,228.282117,221.488414,Masculino,Preta,Abril,2003,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2904100,Interior,Municipal,Urbana,165.631212,169.73128,Masculino,Parda,Dezembro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio", , , , , 
2017,Nordeste,BA,2931301,Interior,Municipal,Urbana,250.194565,280.645245,Masculino, ,Julho,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Norte,RO,1100122,Interior,Estadual,Urbana,215.884402,257.410077,Feminino,Parda,Dezembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2611606,Capital,Estadual,Urbana,221.442055,192.891048,Feminino,Parda,Fevereiro,2000,"Sim, dois",Não sei,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
2017,Sudeste,SP,3549904,Interior,Municipal,Urbana,215.51445,212.35370699999999,Feminino,Preta,Janeiro,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Centro-Oeste,DF,5300108,Capital,Estadual,Rural,168.269578,227.97673,Feminino,Parda,Junho,1999,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Mais de 2 horas, até 3 horas",Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3536307,Interior,Estadual,Urbana,203.214692,288.711234,Masculino,Parda,Março,2003,"Sim, um",Completou a Faculdade,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2308708,Interior,Municipal,Urbana,248.245693,235.00262,Feminino,Parda,Maio,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Nordeste,PE,2602209,Interior,Municipal,Rural,206.811792,244.015369,Masculino,Branca,Julho,2001,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Norte,PA,1500800,Interior,Municipal,Urbana,273.471456,219.328119,Feminino,Parda,Abril,2002,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Nunca estudou,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2933307,Interior,Estadual,Urbana,318.078403,227.505167,Masculino,Branca,Novembro,1998 ou antes,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,PA,1507458,Interior,Municipal,Rural,234.413788,177.947061,Masculino,Amarela,Dezembro,1999,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Mais de 3 horas, ,Continuar estudando e trabalhar
2017,Sudeste,MG,3162575,Interior,Estadual,Urbana,325.530111,310.869468,Masculino,Branca,Março,2003,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3545001,Interior,Estadual,Rural,260.163379,244.427966,Masculino,Parda,Outubro,1999,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,MA,2109908,Interior,Municipal,Urbana,222.643091,224.62688,Masculino,Parda,Abril,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Nordeste,MA,2111300,Capital,Estadual,Urbana,192.029141,204.173585,Feminino,Parda,Janeiro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,"Mais de 2 horas, até 3 horas",Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,MG,3136702,Interior,Estadual,Urbana,237.635647,258.440229, ,Branca,Dezembro,2002,"Sim, quatro ou mais","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,SP,3552809,Interior,Estadual,Urbana,174.055593,136.376192,Masculino,Preta,Janeiro,2001,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Norte,PA,1506807,Interior,Municipal,Rural,325.218833,287.156589,Feminino,Parda,Outubro,2002,"Sim, dois",Completou a Faculdade,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2304285,Interior,Municipal,Urbana,285.931977,301.446804,Feminino,Parda,Setembro,2003,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3305109,Interior,Estadual,Urbana,262.283371,303.352397,Masculino,Não quero declarar,Março,2003,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2614303,Interior,Estadual,Urbana,275.229265,235.25693,Masculino,Indígena,Maio,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
