"freq_intervalos_lp_n15";"Freq"
"(120,140]";0
"(140,160]";1
"(160,180]";0
"(180,200]";3
"(200,220]";1
"(220,240]";1
"(240,260]";3
"(260,280]";1
"(280,300]";2
"(300,320]";0
"(320,340]";2
"(340,360]";1
"(360,380]";0
