ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,MA,2107506,Interior,Municipal,Rural,227.955854,257.965647,Feminino,Parda,Fevereiro,2002,"Sim, dois", ,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,SC,4205407,Capital,Municipal,Urbana,205.734442,200.406107,Masculino,Parda,Agosto,2001,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3156502,Interior,Estadual,Rural,229.595818,204.579196,Feminino,Parda,Fevereiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3546306,Interior,Estadual,Urbana,230.560117,291.876473,Feminino,Branca,Março,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Norte,AM,1302603,Capital,Estadual,Urbana,260.522202,267.531563,Masculino,Parda,Janeiro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sul,RS,6310419,Interior,Estadual,Urbana,184.515013,185.58335,Feminino,Não quero declarar,Março,2001,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Mais de 3 horas,Não,Ainda não sei
2017,Sul,PR,4109401,Interior,Estadual,Urbana,314.441911,315.134724,Masculino,Branca,Fevereiro,2003,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Nordeste,CE,2312403,Interior,Municipal,Rural,250.749576,224.722344,Masculino,Branca,Junho,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3170206,Interior,Municipal,Urbana,250.757785,207.42065,Feminino,Preta,Novembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sul,PR,4100400,Interior,Estadual,Urbana,230.679559,224.588985,Masculino,Branca,Junho,2002,"Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sul,SC,4205407,Capital,Municipal,Urbana,257.020357,179.597729,Masculino,Branca,Outubro,2002,"Sim, três",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Sim,Somente trabalhar
